t,l,R,eg
0.000000,1.000000,0.000000,0.500000
0.001000,0.999750,0.000318,0.499899
0.002000,0.999500,0.000636,0.499797
0.003000,0.999251,0.000954,0.499696
0.004000,0.999002,0.001273,0.499595
0.005000,0.998752,0.001591,0.499494
0.006000,0.998503,0.001909,0.499392
0.007000,0.998255,0.002227,0.499291
0.008000,0.998006,0.002545,0.499190
0.009000,0.997757,0.002863,0.499089
0.010000,0.997509,0.003181,0.498987
0.011000,0.997261,0.003499,0.498886
0.012000,0.997013,0.003818,0.498785
0.013000,0.996765,0.004136,0.498684
0.014000,0.996517,0.004454,0.498582
0.015000,0.996270,0.004772,0.498481
0.016000,0.996022,0.005090,0.498380
0.017000,0.995775,0.005408,0.498278
0.018000,0.995528,0.005726,0.498177
0.019000,0.995281,0.006044,0.498076
0.020000,0.995034,0.006363,0.497975
0.021000,0.994788,0.006681,0.497873
0.022000,0.994541,0.006999,0.497772
0.023000,0.994295,0.007317,0.497671
0.024000,0.994049,0.007635,0.497570
0.025000,0.993803,0.007953,0.497468
0.026000,0.993557,0.008271,0.497367
0.027000,0.993312,0.008589,0.497266
0.028000,0.993066,0.008907,0.497165
0.029000,0.992821,0.009226,0.497063
0.030000,0.992576,0.009544,0.496962
0.031000,0.992331,0.009862,0.496861
0.032000,0.992086,0.010180,0.496760
0.033000,0.991841,0.010498,0.496658
0.034000,0.991597,0.010816,0.496557
0.035000,0.991353,0.011134,0.496456
0.036000,0.991109,0.011452,0.496355
0.037000,0.990865,0.011770,0.496253
0.038000,0.990621,0.012088,0.496152
0.039000,0.990377,0.012406,0.496051
0.040000,0.990134,0.012724,0.495950
0.041000,0.989890,0.013042,0.495848
0.042000,0.989647,0.013360,0.495747
0.043000,0.989404,0.013678,0.495646
0.044000,0.989161,0.013996,0.495545
0.045000,0.988919,0.014314,0.495443
0.046000,0.988676,0.014632,0.495342
0.047000,0.988434,0.014950,0.495241
0.048000,0.988191,0.015268,0.495140
0.049000,0.987949,0.015586,0.495039
0.050000,0.987707,0.015904,0.494937
0.051000,0.987466,0.016222,0.494836
0.052000,0.987224,0.016540,0.494735
0.053000,0.986983,0.016858,0.494634
0.054000,0.986742,0.017176,0.494532
0.055000,0.986500,0.017494,0.494431
0.056000,0.986260,0.017812,0.494330
0.057000,0.986019,0.018130,0.494229
0.058000,0.985778,0.018448,0.494127
0.059000,0.985538,0.018766,0.494026
0.060000,0.985297,0.019084,0.493925
0.061000,0.985057,0.019402,0.493824
0.062000,0.984817,0.019720,0.493723
0.063000,0.984578,0.020038,0.493621
0.064000,0.984338,0.020355,0.493520
0.065000,0.984098,0.020673,0.493419
0.066000,0.983859,0.020991,0.493318
0.067000,0.983620,0.021309,0.493217
0.068000,0.983381,0.021627,0.493115
0.069000,0.983142,0.021945,0.493014
