t,l,R,eg
0.000000,1.000000,0.000000,0.500000
0.001000,0.999851,0.000399,0.499873
0.002000,0.999702,0.000797,0.499746
0.003000,0.999554,0.001196,0.499619
0.004000,0.999406,0.001595,0.499492
0.005000,0.999257,0.001993,0.499366
0.006000,0.999109,0.002392,0.499239
0.007000,0.998961,0.002790,0.499112
0.008000,0.998813,0.003189,0.498985
0.009000,0.998665,0.003587,0.498858
0.010000,0.998518,0.003985,0.498731
0.011000,0.998370,0.004384,0.498605
0.012000,0.998223,0.004782,0.498478
0.013000,0.998076,0.005180,0.498351
0.014000,0.997929,0.005578,0.498224
0.015000,0.997782,0.005977,0.498098
0.016000,0.997635,0.006375,0.497971
0.017000,0.997488,0.006773,0.497844
0.018000,0.997341,0.007171,0.497717
0.019000,0.997195,0.007569,0.497591
0.020000,0.997049,0.007967,0.497464
0.021000,0.996903,0.008365,0.497337
0.022000,0.996756,0.008762,0.497211
0.023000,0.996611,0.009160,0.497084
0.024000,0.996465,0.009558,0.496958
0.025000,0.996319,0.009956,0.496831
0.026000,0.996174,0.010353,0.496704
0.027000,0.996028,0.010751,0.496578
0.028000,0.995883,0.011149,0.496451
0.029000,0.995738,0.011546,0.496325
0.030000,0.995593,0.011944,0.496198
0.031000,0.995448,0.012341,0.496072
0.032000,0.995303,0.012738,0.495945
0.033000,0.995159,0.013136,0.495819
0.034000,0.995014,0.013533,0.495692
0.035000,0.994870,0.013930,0.495566
0.036000,0.994726,0.014328,0.495439
0.037000,0.994582,0.014725,0.495313
0.038000,0.994438,0.015122,0.495186
0.039000,0.994294,0.015519,0.495060
0.040000,0.994150,0.015916,0.494934
0.041000,0.994007,0.016313,0.494807
0.042000,0.993863,0.016710,0.494681
0.043000,0.993720,0.017107,0.494554
0.044000,0.993577,0.017504,0.494428
0.045000,0.993434,0.017900,0.494302
0.046000,0.993291,0.018297,0.494175
0.047000,0.993148,0.018694,0.494049
0.048000,0.993005,0.019091,0.493923
0.049000,0.992863,0.019487,0.493797
0.050000,0.992720,0.019884,0.493670
0.051000,0.992578,0.020280,0.493544
0.052000,0.992436,0.020677,0.493418
0.053000,0.992294,0.021073,0.493292
0.054000,0.992152,0.021469,0.493166
0.055000,0.992011,0.021866,0.493039
0.056000,0.991869,0.022262,0.492913
0.057000,0.991727,0.022658,0.492787
0.058000,0.991586,0.023054,0.492661
0.059000,0.991445,0.023451,0.492535
0.060000,0.991304,0.023847,0.492409
0.061000,0.991163,0.024243,0.492283
0.062000,0.991022,0.024639,0.492156
0.063000,0.990881,0.025035,0.492030
0.064000,0.990741,0.025430,0.491904
0.065000,0.990600,0.025826,0.491778
0.066000,0.990460,0.026222,0.491652
0.067000,0.990320,0.026618,0.491526
0.068000,0.990180,0.027013,0.491400
0.069000,0.990040,0.027409,0.491274
0.070000,0.989900,0.027805,0.491148
0.071000,0.989761,0.028200,0.491022
0.072000,0.989621,0.028596,0.490897
0.073000,0.989482,0.028991,0.490771
0.074000,0.989342,0.029386,0.490645
0.075000,0.989203,0.029782,0.490519
0.076000,0.989064,0.030177,0.490393
0.077000,0.988925,0.030572,0.490267
0.078000,0.988787,0.030967,0.490141
0.079000,0.988648,0.031362,0.490015
0.080000,0.988509,0.031757,0.489890
0.081000,0.988371,0.032152,0.489764
0.082000,0.988233,0.032547,0.489638
0.083000,0.988095,0.032942,0.489512
0.084000,0.987957,0.033337,0.489387
0.085000,0.987819,0.033732,0.489261
0.086000,0.987681,0.034127,0.489135
0.087000,0.987544,0.034521,0.489009
0.088000,0.987406,0.034916,0.488884
0.089000,0.987269,0.035310,0.488758
0.090000,0.987132,0.035705,0.488632
0.091000,0.986995,0.036099,0.488507
0.092000,0.986858,0.036494,0.488381
0.093000,0.986721,0.036888,0.488255
0.094000,0.986584,0.037282,0.488130
0.095000,0.986447,0.037677,0.488004
0.096000,0.986311,0.038071,0.487879
0.097000,0.986175,0.038465,0.487753
0.098000,0.986039,0.038859,0.487628
0.099000,0.985902,0.039253,0.487502
0.100000,0.985767,0.039647,0.487377
0.101000,0.985631,0.040041,0.487251
0.102000,0.985495,0.040435,0.487126
0.103000,0.985360,0.040829,0.487000
0.104000,0.985224,0.041222,0.486875
0.105000,0.985089,0.041616,0.486749
0.106000,0.984954,0.042010,0.486624
0.107000,0.984819,0.042403,0.486499
0.108000,0.984684,0.042797,0.486373
0.109000,0.984549,0.043190,0.486248
0.110000,0.984414,0.043584,0.486123
0.111000,0.984280,0.043977,0.485997
0.112000,0.984145,0.044370,0.485872
0.113000,0.984011,0.044763,0.485747
0.114000,0.983877,0.045157,0.485621
0.115000,0.983743,0.045550,0.485496
0.116000,0.983609,0.045943,0.485371
0.117000,0.983475,0.046336,0.485246
0.118000,0.983342,0.046729,0.485120
0.119000,0.983208,0.047122,0.484995
0.120000,0.983075,0.047514,0.484870
0.121000,0.982941,0.047907,0.484745
0.122000,0.982808,0.048300,0.484620
0.123000,0.982675,0.048693,0.484495
0.124000,0.982542,0.049085,0.484369
0.125000,0.982410,0.049478,0.484244
0.126000,0.982277,0.049870,0.484119
0.127000,0.982144,0.050263,0.483994
0.128000,0.982012,0.050655,0.483869
0.129000,0.981880,0.051047,0.483744
0.130000,0.981748,0.051439,0.483619
0.131000,0.981616,0.051832,0.483494
0.132000,0.981484,0.052224,0.483369
0.133000,0.981352,0.052616,0.483244
0.134000,0.981220,0.053008,0.483119
0.135000,0.981089,0.053400,0.482994
0.136000,0.980958,0.053791,0.482869
0.137000,0.980826,0.054183,0.482744
0.138000,0.980695,0.054575,0.482620
0.139000,0.980564,0.054967,0.482495
0.140000,0.980433,0.055358,0.482370
0.141000,0.980303,0.055750,0.482245
0.142000,0.980172,0.056141,0.482120
0.143000,0.980042,0.056533,0.481995
0.144000,0.979911,0.056924,0.481871
0.145000,0.979781,0.057315,0.481746
0.146000,0.979651,0.057707,0.481621
0.147000,0.979521,0.058098,0.481496
0.148000,0.979391,0.058489,0.481372
0.149000,0.979261,0.058880,0.481247
0.150000,0.979132,0.059271,0.481122
0.151000,0.979002,0.059662,0.480998
0.152000,0.978873,0.060053,0.480873
0.153000,0.978743,0.060444,0.480748
0.154000,0.978614,0.060834,0.480624
0.155000,0.978485,0.061225,0.480499
0.156000,0.978356,0.061616,0.480375
0.157000,0.978228,0.062006,0.480250
0.158000,0.978099,0.062397,0.480126
0.159000,0.977971,0.062787,0.480001
0.160000,0.977842,0.063177,0.479877
0.161000,0.977714,0.063568,0.479752
0.162000,0.977586,0.063958,0.479628
0.163000,0.977458,0.064348,0.479503
0.164000,0.977330,0.064738,0.479379
0.165000,0.977202,0.065128,0.479254
0.166000,0.977075,0.065518,0.479130
0.167000,0.976947,0.065908,0.479006
0.168000,0.976820,0.066298,0.478881
0.169000,0.976692,0.066688,0.478757
0.170000,0.976565,0.067077,0.478633
0.171000,0.976438,0.067467,0.478508
0.172000,0.976311,0.067856,0.478384
0.173000,0.976185,0.068246,0.478260
0.174000,0.976058,0.068635,0.478136
0.175000,0.975932,0.069025,0.478011
0.176000,0.975805,0.069414,0.477887
0.177000,0.975679,0.069803,0.477763
0.178000,0.975553,0.070192,0.477639
0.179000,0.975427,0.070581,0.477515
0.180000,0.975301,0.070970,0.477390
0.181000,0.975175,0.071359,0.477266
0.182000,0.975049,0.071748,0.477142
0.183000,0.974924,0.072137,0.477018
0.184000,0.974798,0.072526,0.476894
0.185000,0.974673,0.072915,0.476770
0.186000,0.974548,0.073303,0.476646
0.187000,0.974423,0.073692,0.476522
0.188000,0.974298,0.074080,0.476398
0.189000,0.974173,0.074469,0.476274
0.190000,0.974049,0.074857,0.476150
