parameter,value
function,WFG6
dimension,24
population_size,120
max_generation,4000
parent_size,25
child_size,95
seed,1
constraint,0
mutation_rate,0
learning_rate,0.0020833333333333333
M,2
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,1.5431899912205429,1.2054420025774086,4.6364348600658642,1.2234385807386505,5.7863393200716118,0.10809594726299339,9.9265953158967175,7.5302528826790667,13.762666272547476,9.3478537100523713,5.9180230932189311,19.960622151919289,14.334448409258229,1.9622818594623916,14.174251243278899,23.768474468120456,6.5265065938486364,16.715214276939037,8.7537865579379748,20.329901508572167,8.7598689546954827,2.1693868219417238,23.867646276189515,8.2693611360073564,2.2901007608592647,2.5641624334283035,0,0.13036054318172408,0,1
1,1.5251462755754261,1.8211298804440084,3.1909586782344093,0.87468851169313522,1.460327437566,6.1054648646529985,3.0191038566905251,14.663099247013534,8.3187452699165298,2.6453454944534203,16.813315475699344,5.1056086776969067,1.930719290946763,2.671738843872415,4.8661653424107154,11.40683782150251,3.2404655974476397,5.1574682521101005,35.378491284174494,23.06336871943866,35.265098881916174,27.424853051242316,14.927805019102911,34.944558732948764,2.1914475375778024,2.9719605120220409,0,0.084277741476432022,0,1
2,0.16709269377053182,0.17708918986203384,2.6628479005568826,0.15455001363695398,0.67032050939476573,9.741258165237614,8.9080685909832003,12.365606893108074,12.702278573252872,4.7642183028144114,0.97719472777610095,6.7492053965941796,22.492330548611545,2.0474527246549088,19.809956899996006,5.9961145488135097,17.757743315648529,32.539653462545871,18.055804026573092,33.880891308421639,35.228735171930282,6.1283221751777157,24.854009843932012,22.42009513724188,1.5334871492458757,4.0657022704601573,0,0.25439741789611603,0,1
3,0.78588053506070865,0.32313491951015066,2.1127278700164189,0.0081062401429574799,6.246304802751653,2.4032568715972991,8.7515622581284713,5.1432293163765799,0.8517281221638856,14.467295038752743,16.703544021928071,9.7513032273030316,18.312710728680248,16.390057969132435,29.086935208902499,9.7241096923629087,10.667682969204556,8.1526180983647922,25.548713266390266,31.156889678400915,21.531791511330923,27.071657060559474,2.100413690788316,21.412776276362745,1.7020609195483023,3.9344160033088471,0,0.22372538543936654,0,1
4,0.45078095199900348,2.5870156569985423,5.5268014749747323,1.6037980904001283,8.7985310472010863,5.5896924413047255,10.149721694869791,4.8459411367722014,8.8021314179878605,4.0734865703974199,1.9495577046311259,3.9765513698226238,13.077909846768348,22.052268207305119,27.108056010989063,7.0247708524834502,25.096452921773487,9.2809041610319607,21.43993232008728,5.2971853661293844,15.627682302037735,3.6456403214699011,23.263406158468197,33.331528916214467,2.3736392065954268,2.2948916841646998,0,0.15459748313296501,0,1
5,1.3418640254428948,0.34502617779560751,5.9487034144855526,6.2360015053346611,9.9436479595133243,7.8442770672134898,0.52399116168595872,11.505429763814961,12.38608982207562,12.176261777106506,2.3366482802317012,6.7364349961449461,20.18158028571192,24.924656519980928,15.317979209096872,22.902653887236671,2.6444817080509337,22.150952348876345,31.836546972191428,27.840215765149296,23.312492810665628,37.892344226957768,34.284789548421195,12.698367004079376,2.4564514936061528,1.6681145315957604,0,0.16203886240304319,0,1
6,0.20401528971600075,3.812484017027157,1.0008829121706331,3.5152354933044507,1.6041638881477447,10.551261214279631,6.6983048268684806,6.3864543674475982,4.9584633738327213,1.0328246989697856,3.0517216465925463,18.68732174018724,4.6293872533120251,16.336278869978191,27.843714649118827,3.4452439620849002,15.389906853850091,5.6157298715313466,11.560011381070964,30.564957800335833,26.330721853071715,31.288194052275912,8.8991862722450286,3.2846908949170821,2.4050607744119183,2.2190407083003847,0,0.19212971166185108,0,1
7,0.26242782288835453,0.64170954647409917,5.2204902869725771,7.8968131705499713,9.3884934496709622,4.5844266931472042,6.7514637344983868,10.718208045019979,14.63035886742149,18.360781394610008,1.9285112734401881,3.0843220531631212,19.122057392272733,26.960392165706935,17.013940681009966,30.310890440197742,29.135419916887869,25.325975389796337,6.8444255478314968,24.773367354720204,23.439298827562546,2.7504018739376779,20.199494973481158,41.278299137348149,2.5913881554723051,1.441742831815805,0,inf,0,1
8,0.61005235968621907,1.9668708767286698,2.4692824551547323,2.5429219769774081,4.8828232010471169,0.75258696821894455,1.5861526682837688,15.181390133498219,13.533942920996237,2.0281305215671139,12.868630654579203,21.780802862986882,16.725647550867922,18.607197000111693,6.7501116686280769,2.6063203861449376,3.0935910979452865,0.13837740262388101,36.382252077661967,2.5916962916066804,32.127188055171317,24.013212571262297,22.991301505402845,4.2023097913171075,1.4339975736550847,4.1831304722773144,0,inf,0,1
9,0.99350539576491659,0.048315250996849413,2.824896104522197,2.128343769536333,6.9415955776689087,6.5094122748471257,11.016753994353849,9.2075139203758756,12.588726354560402,16.737244094402005,11.647994615478067,22.835144879082659,8.125610861622226,21.014672114468798,15.550624779875601,2.5353540397955854,10.213326845996768,22.493812812898355,24.598112549052406,2.8730050054076193,16.662305537409967,2.5437074106186088,23.533475397327397,8.8536295725596155,1.9087997295745263,3.6105032181160186,0,0.33347609372996945,0,1
