parameter,value
function,WFG8
dimension,24
population_size,120
max_generation,2000
parent_size,25
child_size,95
seed,1
constraint,0
mutation_rate,0
learning_rate,0.0020833333333333333
M,2
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,1.5431899912205429,1.2054420025774086,4.6364348600658642,1.2234385807386505,5.7863393200716118,0.10809594726299339,9.9265953158967175,7.5302528826790667,13.762666272547476,9.3478537100523713,5.9180230932189311,19.960622151919289,14.334448409258229,1.9622818594623916,14.174251243278899,23.768474468120456,6.5265065938486364,16.715214276939037,8.7537865579379748,20.329901508572167,8.7598689546954827,2.1693868219417238,23.867646276189515,8.2693611360073564,1.8521830060019864,3.2686881194875506,0,0.094368965217372758,0,1
1,0.7926265765074082,0.42946123334226288,3.0588616691925186,0.81708185979390713,2.8871783284936754,2.7811015626569215,13.54735096072301,4.4531014853791557,4.205205498783644,1.8311288081071511,12.541466475670855,10.030236923897242,9.5639242563831584,22.763859206000838,8.6928000566593795,22.956531265623674,20.840235076714674,15.368753655339354,28.571172842014256,17.112505414962037,17.992061204594116,15.923795780633585,7.0535702646608032,44.985135646030422,1.230774822773665,4.0045567380298861,0,0.15590870991693201,0,1
2,0.16709269377053182,0.17708918986203384,2.6628479005568826,0.15455001363695398,0.67032050939476573,9.741258165237614,8.9080685909832003,12.365606893108074,12.702278573252872,4.7642183028144114,0.97719472777610095,6.7492053965941796,22.492330548611545,2.0474527246549088,19.809956899996006,5.9961145488135097,17.757743315648529,32.539653462545871,18.055804026573092,33.880891308421639,35.228735171930282,6.1283221751777157,24.854009843932012,22.42009513724188,0.99342322257009363,4.4262257951633464,0,inf,0,1
3,0.78588053506070865,0.32313491951015066,2.1127278700164189,0.0081062401429574799,6.246304802751653,2.4032568715972991,8.7515622581284713,5.1432293163765799,0.8517281221638856,14.467295038752743,16.703544021928071,9.7513032273030316,18.312710728680248,16.390057969132435,29.086935208902499,9.7241096923629087,10.667682969204556,8.1526180983647922,25.548713266390266,31.156889678400915,21.531791511330923,27.071657060559474,2.100413690788316,21.412776276362745,1.1033907834655166,4.2563067765891685,0,0.09896562237760477,0,1
4,1.7593119896257916,1.2793956439713341,3.6268800361668925,7.6416813752948922,4.1579211549199826,2.350698750747763,2.3243987200640444,9.9969132752441467,1.0132860476237697,6.5710564957786453,21.569060339659686,18.518337100854176,5.4426433413275204,16.38790186598025,13.193641999750131,19.633733551631906,10.87902887833317,4.0283913045171635,11.894556300438609,39.757515334710043,6.9625153973102814,20.368483785933421,29.233789446666037,1.780222473933132,2.373018073893471,2.478619278748794,0,0.24139682355467948,0,1
5,0.84553146095672616,3.2224452901264002,3.2887382884580587,1.9802123929419175,0.10771793279756879,2.9630458267266979,3.4981752914522053,9.85221373770238,4.7148030903023637,10.485518064479052,8.365615776220654,0.86615257721506922,21.933768739820461,12.599058805379077,29.294429491101592,1.8383116404208919,5.5450404107831615,6.5733943916788045,20.569117974055992,10.907954705869294,20.717267225958818,32.293491623502142,8.4987493667809488,44.19347253565774,1.883878244570778,3.2579991041595306,0,0.18710982461941952,0,1
6,1.8064622211988577,3.5257139925013599,4.8777344905784643,7.6818209490718852,3.0655062283347796,11.139203431821784,0.62898942039738226,5.7621225220397356,1.3683164648282231,18.508523383296847,7.4365144030209631,18.983523873925996,19.477181547255505,13.043252541074297,2.4697829112068068,6.398880103976138,2.5897535371416072,32.12869867788784,27.396911483739007,17.907489002968159,24.210842732049731,8.864533400585664,33.143824198166115,40.672513537960377,2.7592756483051342,1.4804029182498288,0,inf,0,1
7,1.298268916738788,0.83516296442481408,4.4668288371296541,7.8217428382250036,4.1560410411983844,1.0986990770431058,3.6581742766021366,3.6616737092208012,14.965934639591564,10.536281883328636,0.71938916192227909,18.260236791039983,11.007712446094207,4.9562624547558443,21.037166424216405,19.123133559623444,9.3698521772547263,2.226242867555257,26.785603612688902,14.327766511355495,30.375963667791687,23.186881892040809,4.3673351392045827,17.109785324561791,2.2296716401431671,2.6491669683921653,0,0.28871352364322883,0,1
8,0.062393180248456512,0.25084074092783859,1.545673359560757,4.735111951470893,0.8820670035092365,10.332517712965947,1.014508443146688,5.2604979085004198,14.590255732645968,18.662972050646246,5.4338537819864383,13.30933454575877,14.57246720502131,13.362934115764759,13.494945559271082,29.947631855374809,13.262494948041491,1.6875290032977719,9.7169125793788496,17.302093081332035,12.354406940149198,23.829151956153389,34.989220513000205,43.526010455653854,1.1804749505766496,4.1849788469695781,0,0.1575974259490803,0,1
9,0.66053721617486294,0.40260699017059398,3.8707765497382303,6.6024845921468662,3.5524473681777269,2.5971366840716512,6.6569501056633431,3.5766898115297163,6.6125266674706058,14.779981381117366,10.136334061419793,1.7111906095979388,8.7138609132734928,17.081822320951289,21.072689091456105,27.833826784250281,0.18736809955655795,10.753447156790671,28.46741990622516,34.532642433588727,37.661383226300039,17.564534284363216,20.159288570089601,18.577123671389369,1.7721451026444537,3.3495983705638639,0,0.16308455385559556,0,1
