parameter,value
function,WFG4
dimension,24
population_size,120
max_generation,2000
parent_size,25
child_size,95
seed,1
constraint,0
mutation_rate,0
learning_rate,0.0020833333333333333
M,2
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,1.9943696164605311,3.7302294454726619,0.76874668663383594,7.9923241237221889,2.3608897629816923,4.7589687139513117,5.4307503636478547,10.715936647152754,16.839703308684243,16.926218366896812,6.8920172879524246,12.589155908777673,11.529775238902252,6.4281621669855173,16.032417216529517,29.24678472183993,15.54496351540749,15.505148528170034,35.686856208679899,31.135569421556792,30.070761463519016,35.321330152126848,4.2688372741494121,24.871322322923572,2.2171948289023509,1.5236914302282156,0,inf,0,1
1,0.7926265765074082,0.42946123334226288,3.0588616691925186,0.81708185979390713,2.8871783284936754,2.7811015626569215,13.54735096072301,4.4531014853791557,4.205205498783644,1.8311288081071511,12.541466475670855,10.030236923897242,9.5639242563831584,22.763859206000838,8.6928000566593795,22.956531265623674,20.840235076714674,15.368753655339354,28.571172842014256,17.112505414962037,17.992061204594116,15.923795780633585,7.0535702646608032,44.985135646030422,1.2348515681926622,3.7953281551371969,0,0.10729610224388358,0,1
2,0.78588053506070865,0.32313491951015066,2.1127278700164189,0.0081062401429574799,6.246304802751653,2.4032568715972991,8.7515622581284713,5.1432293163765799,0.8517281221638856,14.467295038752743,16.703544021928071,9.7513032273030316,18.312710728680248,16.390057969132435,29.086935208902499,9.7241096923629087,10.667682969204556,8.1526180983647922,25.548713266390266,31.156889678400915,21.531791511330923,27.071657060559474,2.100413690788316,21.412776276362745,1.5129590367172296,3.4800129397803508,0,0.13224538339047848,0,1
3,0.028007118401386942,0.87044438766974952,5.4290746461485808,0.5061717977668424,2.9229909665366831,1.7403145574214389,9.1216318344391851,2.2993067807696548,5.5974180246220806,19.095632816537304,20.185106939401017,20.365135348819674,13.657066024509252,2.7096725858995283,4.3897430900506622,13.283311352003299,17.845653763421442,10.15333049220575,9.9642999560070251,18.279125221256042,16.632135017445634,32.118129885496025,0.27634637521467442,29.458544347705441,1.8831261699994108,2.7557186819127066,0,0.074400979483670332,0,1
4,0.61005235968621907,1.9668708767286698,2.4692824551547323,2.5429219769774081,4.8828232010471169,0.75258696821894455,1.5861526682837688,15.181390133498219,13.533942920996237,2.0281305215671139,12.868630654579203,21.780802862986882,16.725647550867922,18.607197000111693,6.7501116686280769,2.6063203861449376,3.0935910979452865,0.13837740262388101,36.382252077661967,2.5916962916066804,32.127188055171317,24.013212571262297,22.991301505402845,4.2023097913171075,0.67979191865531274,4.4285156667572956,0,inf,0,1
5,0.45016375421983323,0.59071930933095618,0.01552492682812601,6.1297494373789023,9.795772109980712,9.9123989718496883,2.6002898261856893,12.200091167528042,3.4057198058464948,6.8045313040156721,13.389082008131444,16.555087858160348,10.090533068039129,7.543130888408621,28.327769101930887,9.7422985707174607,19.874003142679861,15.283986309891041,13.017182739598184,16.681963802443786,31.955248474463623,37.952178908911748,23.724562348510887,13.984715017205986,1.6629432355047371,3.1281828889942744,0,0.19272415568962106,0,1
6,1.4881472425917812,1.6619426970218825,1.8969731878969218,5.1557496061829911,6.4846403552847942,8.699983177509111,12.536943486740871,6.095315542561619,8.490504000548567,16.944789443374017,19.012796081893157,5.2319322096010694,16.260918196520688,11.520599652239472,17.743075934231644,17.547951606033028,10.126999894625513,28.546955925182303,19.561000766240049,10.553059582921483,27.103006822077404,29.080876960681923,19.986428223628707,20.838735137078046,0.82369396634706904,4.1044224010592503,0,0.14768803311304513,0,1
7,1.8620236956457941,1.9408600519077273,5.5403783162663993,7.1097717161693694,0.89803054752863942,11.601425337375739,1.8757279873224546,6.8212485204337066,15.458896330902236,9.0853621007551926,2.8358053187224059,7.4110258841047454,12.240863103438539,19.408126197170347,19.17820001099496,9.4590111350452357,11.843847332349295,4.7177001092013162,19.563046895876184,24.309504932697379,8.640337490472298,43.672994418685128,6.5401817511294302,34.50071523093856,1.8669522544089281,2.8493773056457399,0,0.20258259808591594,0,1
8,0.72188370324844819,3.5535849450062509,1.584921614901065,0.5135464055468042,1.4216792246722783,3.3100483595374506,8.0092210058263262,3.9917229039922448,3.3077030254227142,18.98144874904758,20.951623649660966,2.5709571688160957,16.376952528078338,7.4926536705556188,2.2686895989161098,10.051088006318459,22.428694087388429,3.1308381809012724,21.561232704735087,20.61174625461711,11.917228640281794,18.410136762621839,23.118361758148819,26.530106077439761,1.4701638282343672,3.5078990460968353,0,0.090711023424762671,0,1
9,1.6761329624785848,0.11127265852376662,0.60175319198688837,6.8203290196659214,7.0285207195601345,5.7773885611171512,5.5197265849744648,14.18841421562432,8.0499888982913888,6.6449233813804991,12.682032594836272,5.6062968920300342,19.233237815027948,15.223300845299701,21.943119315713989,19.272934916125806,33.823943596572136,7.9800069422127224,29.440119350799442,36.064341975535285,9.0452580576827071,26.210979092181869,16.620842436836515,43.934511399195344,1.9130361304693075,2.7203280666143876,0,0.092106122125046014,0,1
10,0.89865236276976013,2.4302059979246895,3.2574136148540571,5.5365778262214818,7.6743306316345681,4.4645437389976959,5.0208874947503048,8.9624047287204416,17.611634132036031,9.3793185295533341,2.9349206867105471,23.242621880492802,4.9048331245543153,16.594401003215811,23.088624917606548,13.416158091826759,29.24848850157414,17.720453146101633,18.298324972373688,8.067343943141692,27.000146839227607,5.5029234955976642,36.097388509956616,15.421153765282105,0.78679852150007556,4.2066853534623583,0,0.082737587214064545,0,1
11,0.53700570541100645,0.65963791052238052,5.351015650267998,7.7410793136994771,0.8567137981071028,3.077183059543787,5.0506106554289802,10.297235234230662,5.0037507431824828,6.6817372910196653,10.864327044457204,6.4717073778465437,12.635117947651445,15.207895561561795,0.15280534722755618,10.963274190972703,9.8309881011395479,5.7999766051758677,7.641143534707151,26.607912441760636,36.187014403612629,36.681745308487848,16.387049375782993,24.247211459306108,1.5516325976993794,3.2776794682238664,0,0.21867608062841595,0,1
12,1.596300560062617,1.8668635479038489,5.6936327400357607,5.5115469146696885,7.287077203899698,4.9795143366862487,2.6918972672658543,10.685403194416221,8.601919191798439,17.502762853742947,18.469909063392254,13.977525783614244,1.9102056869299664,18.243139583145329,19.20014019585534,22.964843955473409,13.06179304038089,22.278420583996468,14.267503394711532,32.783693921706515,14.692154259202663,19.702001494386586,25.40640982970946,16.413540827890522,1.3984047808005755,3.5270695966251995,0,0.17561405876543074,0,1
